Field,RowId,Schedule Name,Asset Route Flag,Asset Number,Asset Description,Asset Group,Asset Group Description,Activity,Activity Department,SCE
JAS,161,PM-WPD-MECH CRUDE PUMP B P1400B,N,WPD-P1400B,WPD-CRUDE OIL PUMP PACKAGE B,PUSC-BNM-W8.5Z62,"CRUDE OIL PUMP, BORNEMANN PUMP, MODEL W8.5Z-62",PUSC-M03-02,MECH,NON SCE
JAS,162,PM-PPB2-E&I & OSP PSV CONVENTIONAL-ANNUAL,Y,ROUTE-PPB2-VASC,PB2-PSV CONVENTIONAL TYPE,VASC,PSV-CONVENTIONAL,VASC-Y01-01,E&I,NON SCE
JAS,163,PM-WPC-MECH CRUDE PUMP A P1400A,N,WPC-P1400A,WPC-CRUDE OIL PUMP PACKAGE A,PUSC-BNM-W8.5Z50/1,"CRUDE OIL PUMP, BORNEMANN PUMP, MODEL W8.5Z-50/1",PUSC-M03-02,MECH,NON SCE
JAS,164,PM-WPC-E&I AUDIBLE ALARM SP9932 -ANNUAL INSPECT,N,WPC-SP9932,WPC-AUDIBLE ALARM,FGSP-MEDC,Audible alarm-MEDC,FGSP-Y01-01,E&I,
JAS,165,PM-WPD-MECH LPWD PUMP A P1801A,N,WPD-P1801A,WPD-PRODUCED WATER BOOSTER PUMP A,PUCE-GOULD,GOULDS PUMPS,PUCE-M03-09,MECH,
JAS,166,PM-WPD-MECH LPWD PUMP B P1801B,N,WPD-P1801B,WPD-PRODUCED WATER BOOSTER PUMP B,PUCE-GOULD,GOULDS PUMPS,PUCE-M03-09,MECH,
JAS,167,PM-WPD-MECH LPWD PUMP C P1801C,N,WPD-P1801C,WPD-PRODUCED WATER BOOSTER PUMP C,PUCE-GOULD,GOULDS PUMPS,PUCE-M03-09,MECH,
JAS,168,PM-WPB-E&I  HEAT DETECTOR-6 MONTHLY,Y,ROUTE-WPB-FGBH,WPB-HEAT DETECTOR,FGAB/BH,GAS&HEAT DETECTOR,FGBH-M06-01,E&I,NON SCE
JAS,169,PM-WPB-E&I WELLHEAD CONTROL PANEL,Y,ROUTE-WPB-WHCP,WPB-WELLHEAD CONTROL PANEL,WHCP,WELLHEAD CONTROL PANEL,WHCP-M06-01,E&I,NON SCE
JAS,170,PM-WPB-E&I WELLHEAD CONTROL PANEL,Y,ROUTE-WPB-WHCP,WPB-WELLHEAD CONTROL PANEL,WHCP,WELLHEAD CONTROL PANEL,WHCP-Y01-01,E&I,NON SCE
JAS,171,PM-WPD-MECH MILTON ROY B PUMP A PACKAGE-6 MONTHLY,Y,ROUTE-WPD-CHIJ-PUPG/B-1,WPD-CHEMICAL INJECTION SYSTEM-MILROYAL B PACKED PLUNGER PUMP,CHIJ,CHEMICAL INJECTION SYSTEM,PUPG-M06-02,MECH,NON SCE
JAS,172,PM-WPB-MEC CRANE & ENGINE,N,WPB-Y9910,WPB-PEDESTAL CRANE,CRHO-OST-180B180,"PEDESTAL NAUTILUS CRANE, OIL STATES INDUSTRIES,MODEL 180B1-80(MS)",CRHO-M03-01,MECH,NON SCE
JAS,173,PM-WPB-MEC CRANE & ENGINE,N,WPB-Y9910,WPB-PEDESTAL CRANE,CRHO-OST-180B180,"PEDESTAL NAUTILUS CRANE, OIL STATES INDUSTRIES,MODEL 180B1-80(MS)",CRHO-M06-01,MECH,NON SCE
JAS,174,PM-WPB-MEC CRANE & ENGINE,N,WPB-Y9910,WPB-PEDESTAL CRANE,CRHO-OST-180B180,"PEDESTAL NAUTILUS CRANE, OIL STATES INDUSTRIES,MODEL 180B1-80(MS)",CRHO-Y01-01,MECH,NON SCE
JAS,175,PM-PPB2-MEC CRANE & ENGINE,N,PPB2-Y9910,PPB2-PEDESTAL CRANE,CRHO-OST-180B180,"PEDESTAL NAUTILUS CRANE, OIL STATES INDUSTRIES,MODEL 180B1-80(MS)",CRHO-M03-01,MECH,NON SCE
JAS,176,PM-PPB2-MEC CRANE & ENGINE,N,PPB2-Y9910,PPB2-PEDESTAL CRANE,CRHO-OST-180B180,"PEDESTAL NAUTILUS CRANE, OIL STATES INDUSTRIES,MODEL 180B1-80(MS)",CRHO-M06-01,MECH,NON SCE
JAS,177,PM-PPB2-MEC CRANE & ENGINE,N,PPB2-Y9910,PPB2-PEDESTAL CRANE,CRHO-OST-180B180,"PEDESTAL NAUTILUS CRANE, OIL STATES INDUSTRIES,MODEL 180B1-80(MS)",CRHO-Y01-01,MECH,NON SCE
JAS,178,PM-BYA-MEC CRANE SWING GEAR-1000 HR OR ANNUAL,N,BYA-Y9910,BYA-PEDESTAL CRANE,CRHO-OST-180B180,"PEDESTAL NAUTILUS CRANE, OIL STATES INDUSTRIES,MODEL 180B1-80(MS)",CHHD-H1000-01,MECH,NON SCE
JAS,179,PM-BYA-MEC CRANE HOIST-1000 HR OR ANNUAL,N,BYA-Y9910,BYA-PEDESTAL CRANE,CRHO-OST-180B180,"PEDESTAL NAUTILUS CRANE, OIL STATES INDUSTRIES,MODEL 180B1-80(MS)",WIHW-H1000-01,MECH,NON SCE
JAS,180,PM-BYA-MEC CRANE BOOM-2000 HR OR ANNUAL,N,BYA-Y9910,BYA-PEDESTAL CRANE,CRHO-OST-180B180,"PEDESTAL NAUTILUS CRANE, OIL STATES INDUSTRIES,MODEL 180B1-80(MS)",CRDO-H2000-01,MECH,NON SCE
JAS,181,PM-BYA-MEC CRANE LUFFING CYL.-250 HR OR 3MONTHLY,N,BYA-Y9910,BYA-PEDESTAL CRANE,CRHO-OST-180B180,"PEDESTAL NAUTILUS CRANE, OIL STATES INDUSTRIES,MODEL 180B1-80(MS)",CHHD-H250-01,MECH,NON SCE
JAS,182,PM-WPA-MECH AIR COMPRESSOR A(ATLAS GA30/45) K4010A,N,WPA-K4010A,WPA-AIR COMPRESSOR PACKAGE UNIT A,COSC,COMPRESSOR - SCREW,COSC-M03-05,MECH,NON SCE
JAS,183,PM-WPA-MECH AIR COMPRESSOR A(ATLAS GA30/45) K4010A,N,WPA-K4010A,WPA-AIR COMPRESSOR PACKAGE UNIT A,COSC,COMPRESSOR - SCREW,COSC-M06-05,MECH,NON SCE
JAS,184,PM-WPA-MECH AIR COMPRESSOR A(ATLAS GA30/45) K4010A,N,WPA-K4010A,WPA-AIR COMPRESSOR PACKAGE UNIT A,COSC,COMPRESSOR - SCREW,COSC-Y01-07,MECH,NON SCE
JAS,185,PM-WPC-MEC-CRANE & ENGINE,N,WPC-Y9910,WPC-PEDESTAL CRANE,CRHO-OST-180B180,"PEDESTAL NAUTILUS CRANE, OIL STATES INDUSTRIES,MODEL 180B1-80(MS)",CRHO-M03-01,MECH,NON SCE
JAS,186,PM-WPC-MEC-CRANE & ENGINE,N,WPC-Y9910,WPC-PEDESTAL CRANE,CRHO-OST-180B180,"PEDESTAL NAUTILUS CRANE, OIL STATES INDUSTRIES,MODEL 180B1-80(MS)",CRHO-M06-01,MECH,NON SCE
JAS,187,PM-WPC-MEC-CRANE & ENGINE,N,WPC-Y9910,WPC-PEDESTAL CRANE,CRHO-OST-180B180,"PEDESTAL NAUTILUS CRANE, OIL STATES INDUSTRIES,MODEL 180B1-80(MS)",CRHO-Y01-01,MECH,NON SCE
JAS,188,PM-PPB2-E&I HAZARDOUS(Ex) ANNUAL INSPECTION,Y,ROUTE-PPB2-HAZORDOUS,PPB2-HAZORDOUS EQUIPMENT LIST,EX-HAZORDOUS,EX-HAZORDOUS EQUIPMENT,EEEX-Y01-01,E&I,
JAS,189,PM-WPC-E&I HAZORDOUS(Ex) ANNUAL INSPECTION,Y,ROUTE-WPC-HAZORDOUS,WPC-HAZORDOUS EQUIPMENT LIST,EX-HAZORDOUS,EX-HAZORDOUS EQUIPMENT,EEEX-Y01-01,E&I,
JAS,190,PM-WPA-E&I HAZORDOUS(Ex) ANNUAL INSPECTION,Y,ROUTE-WPA-HAZORDOUS,WPA-HAZORDOUS EQUIPMENT LIST,EX-HAZORDOUS,EX-HAZORDOUS EQUIPMENT,EEEX-Y01-01,E&I,
JAS,191,PM-WPB-E&I HAZAORDOUS(Ex) ANNUAL INSPECTION,Y,ROUTE-WPB-HAZORDOUS,WPA-HAZORDOUS EQUIPMENT LIST,EX-HAZORDOUS,EX-HAZORDOUS EQUIPMENT,EEEX-Y01-01,E&I,
JAS,192,PM-WPD-E&I HAZORDOUS(Ex) ANNUAL INSPECTION,Y,ROUTE-WPD-HAZORDOUS,WPD-HAZORDOUS EQUIPMENT LIST,EX-HAZORDOUS,EX-HAZORDOUS EQUIPMENT,EEEX-Y01-01,E&I,
JAS,193,PM-BYA-E&I HAZORDOUS(Ex) ANNUAL INSPECTION,Y,ROUTE-BYA-HAZORDOUS,BYA-HAZORDOUS EQUIPMENT LIST,EX-HAZORDOUS,EX-HAZORDOUS EQUIPMENT,EEEX-Y01-01,E&I,
JAS,194,PM-WPA-MEC- CRANE & ENGINE,N,WPA-Y9910,WPA-PEDESTAL CRANE,CRHO-OIST-60B2A70,"NAUTILUS CRANE, OIL STATES, MODEL 60B2A-70",CRHO-M06-02,MECH,NON SCE
JAS,195,PM-WPA-MEC- CRANE & ENGINE,N,WPA-Y9910,WPA-PEDESTAL CRANE,CRHO-OIST-60B2A70,"NAUTILUS CRANE, OIL STATES, MODEL 60B2A-70",CRHO-Y01-02,MECH,NON SCE
JAS,196,PM-WPA-MEC- CRANE & ENGINE,N,WPA-Y9910,WPA-PEDESTAL CRANE,CRHO-OIST-60B2A70,"NAUTILUS CRANE, OIL STATES, MODEL 60B2A-70",CRHO-M03-02,MECH,NON SCE
JAS,197,PM-WPB-MEC-SLING AND WIRE ROPE -3 MONTHLY,N,WPB-SLING001,WPB-SLING AND WIRE ROPE,CRANE,CRANE AND LIFTING EQUIPMENT,SLING-M03-01,MECH,
JAS,198,PM-PPB2-MEC SLING AND WIRE ROPE -3 MONTHLY,N,PPB2-SLING001,PPB2-SLING AND WIRE ROPE,CRANE,CRANE AND LIFTING EQUIPMENT,SLING-M03-01,MECH,
JAS,199,PM-WPC-MEC-SLING AND WIRE ROPE-3 MONTHLY,N,WPC-SLING001,WPC-SLING AND WIRE ROPE,CRANE,CRANE AND LIFTING EQUIPMENT,SLING-M03-01,MECH,
JAS,200,PM-WPD-MEC-SLING AND WIRE ROPE-3 MONTHLY,N,WPD-SLING001,WPD-SLING AND WIRE ROPE,CRANE,CRANE AND LIFTING EQUIPMENT,SLING-M03-01,MECH,
JAS,201,PM-BYA-MEC-SLING AND WIRE ROPE -3 MONTHLY,N,BYA-SLING001,BYA-SLING AND WIRE ROPE,CRANE,CRANE AND LIFTING EQUIPMENT,SLING-M03-01,MECH,
JAS,202,PM-SATTAHIP-OSP SLING-3 MONTHLY,N,SAT-SLING001,SATTAHIP WAREHOUSE-SLING AND WIRE ROPE,CRANE,CRANE AND LIFTING EQUIPMENT,SLING-M03-01,MECH,
JAS,203,PM-WPA-PPB2 PIPELINE -OPERATOR PIGGING- 4 MONTHLY,Y,ROUTE-WPA-PPB2-PIPELINE,WPA-PPB2-PIPELINE,PIPE,PIPE BRIDGE,PIG-W16-01,OPT,
JAS,204,PM-WPC-E&I ABB ACTIVE FILTER,N,WPC-PQFI,WPC-ACTIVE FILTER,EEHF-ABB-PQFI,ABB ACTIVE FILTER,EEHF-M06-01,E&I,NON SCE
